입력 문장,도수,술 종류,맛,tokens
중간 도수의 술을 찾고 있어.,중간,알 수 없음,알 수 없음,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
소프트한 럼 중에서 도수 높은인 게 궁금해요.,높은,럼,부드러운,"['ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '[UNK]', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
"마실 위스키를 찾고 있어요. 상큼한이고, 중간 도수면 좋겠어요.",중간,위스키,신맛,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', '[UNK]', '[UNK]', '[UNK]', '.', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
산뜻한 칵테일 중에서 중간 도수가 괜찮을까요?,중간,칵테일,상큼한,"['[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
"지금 프레시한 보드카가 마시고 싶은데, 낮은 도수가 좋아.",낮은,보드카,상큼한,"['ᄌ', '##ᅵ', '##ᄀ', '##ᅳ', '##ᆷ', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄀ', '##ᅡ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '.']"
럼를 마시고 싶어.,알 수 없음,럼,쓴맛,"['ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
톡 쏘는 위스키 중에서 높은 도수의 것을 추천해줘.,높은,위스키,신맛,"['ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
위스키 추천해줄래?,알 수 없음,위스키,알 수 없음,"['[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
칵테일 추천해줄래?,높은,칵테일,알 수 없음,"['ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
"마실 칵테일를 찾고 있어요. 쌉쌀한이고, 낮은 도수면 좋겠어요.",낮은,칵테일,쓴맛,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄊ', '##ᅡ', '##ᆸ', '##ᄊ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
"높은 도수의 비터한 칵테일, 추천할 만한 거 있어?",높은,칵테일,쓴맛,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', ',', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '[UNK]', '?']"
높은 도수로 소프트한 칵테일를 마셔보고 싶어요.,높은,칵테일,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄉ', '##ᅩ', '##ᄑ', '##ᅳ', '##ᄐ', '##ᅳ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
중간 도수의 신맛 술을 찾아줘.,중간,알 수 없음,신맛,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '.']"
스위트한 칵테일 중에서 중간 도수가 괜찮을까요?,중간,칵테일,달달한,"['[UNK]', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
도수가 중간인 산뜻한 럼를 마셔보고 싶어요.,중간,럼,상큼한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
높은 도수로 산뜻한 보드카를 마셔보고 싶어요.,높은,보드카,상큼한,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', '[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
중간 도수의 프레시한 보드카 한 잔 어때?,중간,보드카,상큼한,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?']"
프레시한 보드카 중에서 높은 도수가 괜찮을까요?,높은,보드카,상큼한,"['ᄑ', '##ᅳ', '##ᄅ', '##ᅦ', '##ᄉ', '##ᅵ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', '?']"
