입력 문장,도수,술 종류,맛
나는 달달한 칵테일을 마시고 싶어.,중간,칵테일,달달한
도수가 낮은 상큼한 칵테일을 추천해줘.,낮은,칵테일,상큼한
강한 도수의 쓴맛 나는 보드카 추천해줘.,높은,보드카,쓴맛
부드럽고 달달한 위스키를 마셔보고 싶어.,높은,위스키,부드러운
상큼하고 도수가 낮은 럼주를 소개해줘.,낮은,럼,상큼한
도수가 중간이고 달달한 보드카가 있나요?,중간,보드카,달달한
신맛이 나고 도수가 강한 술을 찾고 있어요.,높은,칵테일,신맛
도수가 약하고 부드러운 칵테일 추천 부탁해요.,낮은,칵테일,부드러운
쓴맛 나는 위스키를 마셔보고 싶어.,높은,위스키,쓴맛
달달하고 상큼한 럼을 마시고 싶어요.,중간,럼,달달한
가볍고 부드러운 칵테일이 필요해요.,낮은,칵테일,부드러운
진하고 쓴 럼을 추천해줄래?,높은,럼,쓴맛
부드럽고 달달한 술이 있었으면 좋겠어요.,중간,칵테일,달달한
상큼한 맛이 나는 도수가 높은 보드카를 마셔보고 싶어요.,높은,보드카,상큼한
쓴맛이 강한 위스키를 소개해주세요.,높은,위스키,쓴맛
도수가 낮고 달달한 술을 마시고 싶어요.,낮은,칵테일,달달한
도수가 높은 럼 중에서 신맛 나는 술을 찾고 있어요.,높은,럼,신맛
가볍고 상큼한 칵테일 추천 부탁드립니다.,낮은,칵테일,상큼한
쓴맛이 적고 부드러운 보드카를 원해요.,중간,보드카,부드러운
달달한 맛이 나는 위스키를 찾고 있어요.,높은,위스키,달달한
신맛이 강하고 도수가 낮은 술 추천 부탁드려요.,낮은,칵테일,신맛
강한 도수의 부드러운 위스키를 추천해줘.,높은,위스키,부드러운
쓴맛과 상큼함이 공존하는 칵테일이 있나요?,중간,칵테일,쓴맛
달달하면서 도수가 높은 보드카를 찾고 있어요.,높은,보드카,달달한
가볍고 신맛 나는 럼을 추천해주세요.,낮은,럼,신맛
나는 높은 도수의 달달한 칵테일을(를) 마시고 싶어.,높은,칵테일,달달한
나는 높은 도수의 부드러운 위스키을(를) 마시고 싶어.,높은,위스키,부드러운
나는 높은 도수의 부드러운 보드카을(를) 마시고 싶어.,높은,보드카,부드러운
나는 높은 도수의 상큼한 위스키을(를) 마시고 싶어.,높은,위스키,상큼한
나는 중간 도수의 쓴맛 위스키을(를) 마시고 싶어.,중간,위스키,쓴맛
나는 높은 도수의 상큼한 보드카을(를) 마시고 싶어.,높은,보드카,상큼한
나는 중간 도수의 신맛 럼을(를) 마시고 싶어.,중간,럼,신맛
나는 높은 도수의 달달한 보드카을(를) 마시고 싶어.,높은,보드카,달달한
나는 낮은 도수의 달달한 위스키을(를) 마시고 싶어.,낮은,위스키,달달한
나는 중간 도수의 신맛 칵테일을(를) 마시고 싶어.,중간,칵테일,신맛
나는 낮은 도수의 쓴맛 위스키을(를) 마시고 싶어.,낮은,위스키,쓴맛
나는 낮은 도수의 부드러운 칵테일을(를) 마시고 싶어.,낮은,칵테일,부드러운
나는 중간 도수의 쓴맛 칵테일을(를) 마시고 싶어.,중간,칵테일,쓴맛
나는 높은 도수의 쓴맛 칵테일을(를) 마시고 싶어.,높은,칵테일,쓴맛
나는 중간 도수의 신맛 칵테일을(를) 마시고 싶어.,중간,칵테일,신맛
나는 중간 도수의 상큼한 보드카을(를) 마시고 싶어.,중간,보드카,상큼한
나는 낮은 도수의 쓴맛 칵테일을(를) 마시고 싶어.,낮은,칵테일,쓴맛
나는 낮은 도수의 상큼한 칵테일을(를) 마시고 싶어.,낮은,칵테일,상큼한
나는 낮은 도수의 부드러운 럼을(를) 마시고 싶어.,낮은,럼,부드러운
나는 높은 도수의 상큼한 보드카을(를) 마시고 싶어.,높은,보드카,상큼한
나는 높은 도수의 달달한 칵테일을(를) 마시고 싶어.,높은,칵테일,달달한
나는 중간 도수의 신맛 위스키을(를) 마시고 싶어.,중간,위스키,신맛
나는 낮은 도수의 달달한 위스키을(를) 마시고 싶어.,낮은,위스키,달달한
나는 높은 도수의 상큼한 칵테일을(를) 마시고 싶어.,높은,칵테일,상큼한
나는 높은 도수의 신맛 위스키을(를) 마시고 싶어.,높은,위스키,신맛
나는 높은 도수의 부드러운 칵테일을(를) 마시고 싶어.,높은,칵테일,부드러운
나는 높은 도수의 달달한 보드카을(를) 마시고 싶어.,높은,보드카,달달한
나는 높은 도수의 쓴맛 칵테일을(를) 마시고 싶어.,높은,칵테일,쓴맛
나는 중간 도수의 쓴맛 위스키을(를) 마시고 싶어.,중간,위스키,쓴맛
나는 높은 도수의 부드러운 칵테일을(를) 마시고 싶어.,높은,칵테일,부드러운
나는 중간 도수의 신맛 럼을(를) 마시고 싶어.,중간,럼,신맛
나는 높은 도수의 달달한 보드카을(를) 마시고 싶어.,높은,보드카,달달한
나는 낮은 도수의 신맛 칵테일을(를) 마시고 싶어.,낮은,칵테일,신맛
나는 높은 도수의 쓴맛 보드카을(를) 마시고 싶어.,높은,보드카,쓴맛
나는 높은 도수의 부드러운 위스키을(를) 마시고 싶어.,높은,위스키,부드러운
나는 중간 도수의 달달한 보드카을(를) 마시고 싶어.,중간,보드카,달달한
나는 높은 도수의 달달한 보드카을(를) 마시고 싶어.,높은,보드카,달달한
나는 높은 도수의 부드러운 칵테일을(를) 마시고 싶어.,높은,칵테일,부드러운
나는 높은 도수의 달달한 칵테일을(를) 마시고 싶어.,높은,칵테일,달달한
나는 낮은 도수의 달달한 위스키을(를) 마시고 싶어.,낮은,위스키,달달한
나는 높은 도수의 부드러운 위스키을(를) 마시고 싶어.,높은,위스키,부드러운
나는 중간 도수의 신맛 럼을(를) 마시고 싶어.,중간,럼,신맛
나는 중간 도수의 쓴맛 칵테일을(를) 마시고 싶어.,중간,칵테일,쓴맛
나는 높은 도수의 달달한 보드카을(를) 마시고 싶어.,높은,보드카,달달한
나는 높은 도수의 부드러운 럼을(를) 마시고 싶어.,높은,럼,부드러운
나는 낮은 도수의 달달한 보드카을(를) 마시고 싶어.,낮은,보드카,달달한
나는 높은 도수의 달달한 칵테일을(를) 마시고 싶어.,높은,칵테일,달달한
나는 낮은 도수의 달달한 럼을(를) 마시고 싶어.,낮은,럼,달달한
나는 중간 도수의 신맛 칵테일을(를) 마시고 싶어.,중간,칵테일,신맛
나는 낮은 도수의 달달한 럼을(를) 마시고 싶어.,낮은,럼,달달한
나는 높은 도수의 부드러운 칵테일을(를) 마시고 싶어.,높은,칵테일,부드러운
나는 중간 도수의 쓴맛 위스키을(를) 마시고 싶어.,중간,위스키,쓴맛
나는 높은 도수의 부드러운 칵테일을(를) 마시고 싶어.,높은,칵테일,부드러운
